msd_id,msd_artist,msd_title,mxm_id,mxm_artist,mxm_title
TROXMWJ12903CF4396,"Little Louie"" Vega Feat. Arnold Jarvis",Life Goes On,7544478,"""Little"" Louie Vega",Life Goes On (dance Ritual mix) (feat. Arnold Jarvis)
TRUKKNT128F92FF937,!!!,Sweet Life,5772440,!!!,Sweet Life
TRAAVRJ128F92FF90A,!!!,Myth Takes,5772435,!!!,Myth Takes
TRZRBYS128F92FF94F,!!!,Break In Case Of Anything,5772443,!!!,Break in Case of Anything
TRKSFBU128F92FF956,!!!,Infinifold ,5772444,!!!,Infinifold
TRKXWOT128F92FF92A,!!!,Heart Of Hearts,5772439,!!!,Heart of Hearts
TRRKQQU128F92FF947,!!!,Bend Over Beethoven,5772442,!!!,Bend Over Beethoven
TROPNZV128F92FF93D,!!!,Yadnus,5772441,!!!,Yadnus
TRVFSRF128F92FF916,!!!,Must Be The Moon,5772437,!!!,Must Be the Moon
TRDDLOD128F92FF922,!!!,A New Name,5772438,!!!,A New Name
TRGCKLJ128F92FF90E,!!!,All My Heroes Are Weirdos,5772436,!!!,All My Heroes Are Weirdos
TRKVOWT12903CF76D3,!Deladap,Radost,9360971,!DelaDap,Radost
TRRVQAS128F93549BB,!Deladap,Dela Paji,5389795,!DelaDap,Dela Paji
TREIJSQ128F14B18A2,!Deladap,Goldregen (N.O.H.A. Mix),5389803,!DelaDap,Goldregen (N.O.H.A. mix)
TRPMYJW128F9323194,#Poundsign#,Camera,4389934,#Poundsign#,Camera
TRHAEMQ128F427C025,#Poundsign#,Ayso,5375548,#Poundsign#,Ayso
TRLFBUE128F930F012,$jammie the Money,Getting warm,9467270,$jammie the Money,Getting Warm
TRLDBHA128F930F014,$jammie the Money,Dollars,9467270,$jammie the Money,Getting Warm
TRYUBZO128F92D0F92,$tinkworx,Whut,4099927,$tinkworx,Whut
TRWJHXP128F92D0FA2,$tinkworx,Creeping thru Lower Levels,4099934,$tinkworx,Creeping Thru Lower Levels
TRBHQNM128F92D0FAE,$tinkworx,No Tocar,4099939,$tinkworx,No Tocar
TRJGLUO128F92D0FA5,$tinkworx,Icing on the Bitch Ho,4099935,$tinkworx,Icing On The Bitch Ho
TRFUYKH128F92D0F94,$tinkworx,No Luv,4099928,$tinkworx,No Luv
TRGEIBJ128F92D0F8E,$tinkworx,All Night Long,4099926,$tinkworx,All Night Long
TRULEXI128F92D0FAA,$tinkworx,Manowar,4099937,$tinkworx,Manowar
TRCEPOV128F92D0FAB,$tinkworx,Mischa,4099938,$tinkworx,Mischa (Italo Remix)
TRNFYYX128F92D0F97,$tinkworx,Aedena,4099929,$tinkworx,Aedena
TRNRBRP128F92D0FA0,$tinkworx,Raise Up,4099933,$tinkworx,Raise Up
TRVVJIU128F92D0EB2,$tinkworx,Calimaro,4134618,$tinkworx,Calimaro
TRPLTPU128F92D0F99,$tinkworx,Drexion Caves,4099930,$tinkworx,Drexion Caves
TRJCBRC128F92D0FBC,$tinkworx,Todas Las Noches,4099931,$tinkworx,Todas Las Noches
TREJBRO12903CEB60A,& And Oceans,Of Devilish Tongues,925092,...and Oceans,Of Devilish Tongues
TRLSXNZ12903CDE0D8,'68 Comeback,Half-Breed,650073,68 Comeback,Half-Breed
TRRYUUZ12903CF8B05,'68 Comeback,Like Any Other Kind,650086,68 Comeback,Like Any Other Kind
TRIKVLG12903CDE0D3,'68 Comeback,Paper Boy Blues,650071,68 Comeback,Paper Boy Blues
TRDYGAO12903CDE0C0,'68 Comeback,A Long Time Ago,650061,68 Comeback,A Long Time Ago
TRSVRHW12903CF8B0E,'68 Comeback,Hoy Hoy,650095,68 Comeback,Hoy Hoy
TRCXBDV12903CDE0C8,'68 Comeback,Sixteen Tons,650065,68 Comeback,Sixteen Tons
TRZXESN12903CDE0B8,'68 Comeback,Where The Rio de Rosa Flows,650057,68 Comeback,Where the Rio De Rosa Flows (alternate take)
TRDYTGJ12903CF8B00,'68 Comeback,Shake Your Hips,650081,68 Comeback,Shake Your Hips
TRBNIAF12903CDE0C6,'68 Comeback,Willie & The Hand Jive,650064,68 Comeback,Willie & The Hand Jive
TROAGJD12903CDE0B4,'68 Comeback,His Latest Flame,650055,68 Comeback,His Latest Flame
TRGIRHF12903CF8AFB,'68 Comeback,Clean Yong 16,650076,68 Comeback,Clean Yong 16
TRVKMMJ12903CF8B0F,'68 Comeback,Route 66,650096,68 Comeback,Route 66
TRTVDKC12903CDE0AE,'68 Comeback,Three Time Loser,650054,68 Comeback,Three Time Loser
TRXOSFM12903CF8B08,'68 Comeback,That's How My Mind Works,650089,68 Comeback,That's How My Mind Works
TRNMDGM12903CF8B01,'68 Comeback,Get Rhythm,650082,68 Comeback,Get Rhythm
TREVWXN12903CF8B07,'68 Comeback,King's Road,650088,68 Comeback,King's Road
TRSFZWP12903CDE0BC,'68 Comeback,Peepin' & Hidin' AKA Baby What You Want Me To Do,650058,68 Comeback,Peepin' & Hidin' (A.K.A. Baby What You Want Me to Do)
TRUXHPZ12903CF8B0B,'68 Comeback,The Way I Walk,650092,68 Comeback,The Way I Walk
TRIAIXU12903CDE0D2,'68 Comeback,Drinkin' Wine Spo-Dee-O-Dee,650070,68 Comeback,Drinkin' Wine Spo-Dee-O-Dee
TRZSZDA12903CDE0AC,'68 Comeback,All Night Long,650053,68 Comeback,All Night Long
TROGIPY12903CF8B0D,'68 Comeback,Pink Pedal Pushers,650094,68 Comeback,Pink Pedal Pushers
TRCRIYS12903CDE0CF,'68 Comeback,In My Dreams,650069,68 Comeback,In My Dreams
TRUSYBR12903CDE0DC,'68 Comeback,Shake Your Hips,650081,68 Comeback,Shake Your Hips
TROEAFE12903CF8AFC,'68 Comeback,'68,650077,68 Comeback,'68
TRGHDMZ12903CDE0BE,'68 Comeback,Eager Boy,650059,68 Comeback,Eager Boy
TRAGWSI12903CDE0CA,'68 Comeback,A Little Bitch (And A Little Bitch Better),650068,68 Comeback,A Little Bitch (And a Little Bitch Better)
TRRDUSS12903CDE0CB,'68 Comeback,I Wanna Drink Of Water,650067,68 Comeback,I Wanna Drink of Water
TRFYNWI12903CDE0DA,'68 Comeback,Whistle Bait,650074,68 Comeback,Whistle Bait
TRLMJAT12903CF8B03,'68 Comeback,Boomerang,650084,68 Comeback,Boomerang
TRJFFKG12903CF8B09,'68 Comeback,In The Comany Of Kings,650090,68 Comeback,In the Company of Kings
TROWHWB12903CDE0BF,'68 Comeback,It Gets A Little Red,650060,68 Comeback,It Gets a Little Red (alternate take)
TRRXJHV12903CF8B02,'68 Comeback,Muddy Boots,650083,68 Comeback,Muddy Boots
TRCNMFI12903CF8AFD,'68 Comeback,You Walked In The Room,650078,68 Comeback,You Walked in the Room
TRPZESG12903CDE0C5,'68 Comeback,He's My Everything,650063,68 Comeback,He's My Everything
TRLYAEU12903CF8B0A,'68 Comeback,Let It Rock,650091,68 Comeback,Let It Rock
TRKWEZT12903CF8AFF,'68 Comeback,Evergreen,650080,68 Comeback,Evergreen
TREZZOO12903CF8B04,'68 Comeback,Bending Like A Willow Tree,650085,68 Comeback,Bending Like a Willow Tree
TRNHNDL12903CF8AFE,'68 Comeback,Shotgun Saw,650079,68 Comeback,Shotgun Saw
TRBWHUX12903CF8B0C,'68 Comeback,My Girl Josephine,650093,68 Comeback,My Girl Josephine
TRFPPKN12903CDE0D6,'68 Comeback,Tennessee Rock'N'Roll,650072,68 Comeback,Tennessee Rock'n'Roll
TRAMHLO12903CF8B06,'68 Comeback,The Wall,650087,68 Comeback,The Wall
TRSIANM12903CDE0CD,'68 Comeback,A Little Bitch (And A Little Bitch Better),650068,68 Comeback,A Little Bitch (And a Little Bitch Better)
TRFHHHJ12903CDE0B6,'68 Comeback,You Could Call Me Job,650056,68 Comeback,You Could Call Me Job (alternate take)
TRJOEJD12903CE4EE9,'N Sync/Phil Collins,Trashin' The Camp (Phil And 'N Sync Version),4807735,Phil Collins,Trashin' the Camp (Phil and 'N Sync version)
TRIJSOP128F9334FB3,'t Hof Van Commerce,Slaet Ip Min Gat,3761161,'t Hof van Commerce,Slaet ip min gat
