dataset,time,step,loss,acc
train,2018-12-03T17:20:06.121730,1,1.853493,0.2578125
train,2018-12-03T17:20:06.628100,2,1.6377466,0.1796875
train,2018-12-03T17:20:07.051352,3,1.4941895,0.3046875
train,2018-12-03T17:20:07.472056,4,1.7005368,0.1953125
train,2018-12-03T17:20:07.877274,5,1.618139,0.25
train,2018-12-03T17:20:08.284786,6,1.4737028,0.25
train,2018-12-03T17:20:08.682680,7,1.4568381,0.3203125
train,2018-12-03T17:20:09.091933,8,1.501146,0.2734375
train,2018-12-03T17:20:09.499448,9,1.5530851,0.2265625
train,2018-12-03T17:20:09.903961,10,1.5485703,0.171875
train,2018-12-03T17:20:10.319652,11,1.4627452,0.25
train,2018-12-03T17:20:10.728240,12,1.4138621,0.328125
train,2018-12-03T17:20:11.131119,13,1.4626789,0.28125
train,2018-12-03T17:20:11.535483,14,1.4692168,0.234375
train,2018-12-03T17:20:11.938528,15,1.5024678,0.2734375
train,2018-12-03T17:20:12.345123,16,1.5020514,0.2890625
train,2018-12-03T17:20:12.759348,17,1.4968917,0.296875
train,2018-12-03T17:20:13.167040,18,1.4885741,0.2890625
train,2018-12-03T17:20:13.573235,19,1.461915,0.3125
train,2018-12-03T17:20:13.984079,20,1.4608616,0.2890625
train,2018-12-03T17:20:14.392547,21,1.4703716,0.2578125
train,2018-12-03T17:20:14.800975,22,1.5101495,0.28125
train,2018-12-03T17:20:15.214408,23,1.5359502,0.2421875
train,2018-12-03T17:20:15.618846,24,1.5202934,0.234375
train,2018-12-03T17:20:16.024849,25,1.5545952,0.21875
train,2018-12-03T17:20:16.432858,26,1.4848,0.25
train,2018-12-03T17:20:16.844113,27,1.4897349,0.28125
train,2018-12-03T17:20:17.244939,28,1.4314581,0.265625
train,2018-12-03T17:20:17.657902,29,1.484725,0.265625
train,2018-12-03T17:20:18.066604,30,1.4973855,0.2578125
train,2018-12-03T17:20:18.480525,31,1.5467031,0.2421875
train,2018-12-03T17:20:18.896433,32,1.432334,0.296875
train,2018-12-03T17:20:19.310204,33,1.4541377,0.25
train,2018-12-03T17:20:19.714653,34,1.4172498,0.3125
train,2018-12-03T17:20:20.130214,35,1.469813,0.21875
train,2018-12-03T17:20:20.534702,36,1.4342953,0.3125
train,2018-12-03T17:20:20.944429,37,1.4362694,0.328125
train,2018-12-03T17:20:21.357000,38,1.4427316,0.3125
train,2018-12-03T17:20:21.760271,39,1.4065052,0.296875
train,2018-12-03T17:20:22.169879,40,1.488486,0.2890625
train,2018-12-03T17:20:22.581598,41,1.4588487,0.3203125
train,2018-12-03T17:20:22.988372,42,1.4108593,0.3515625
train,2018-12-03T17:20:23.401578,43,1.3520418,0.359375
train,2018-12-03T17:20:23.810617,44,1.4524093,0.265625
train,2018-12-03T17:20:24.212173,45,1.461609,0.2109375
train,2018-12-03T17:20:24.621060,46,1.3716649,0.328125
train,2018-12-03T17:20:25.029592,47,1.3966204,0.359375
train,2018-12-03T17:20:25.436619,48,1.4171522,0.3359375
train,2018-12-03T17:20:25.844226,49,1.419629,0.2890625
train,2018-12-03T17:20:26.253277,50,1.3824201,0.34375
train,2018-12-03T17:20:26.658565,51,1.4260931,0.3359375
train,2018-12-03T17:20:27.068588,52,1.402827,0.3515625
train,2018-12-03T17:20:27.476610,53,1.4470377,0.265625
train,2018-12-03T17:20:27.887395,54,1.4308603,0.3203125
train,2018-12-03T17:20:28.293175,55,1.3545252,0.3984375
train,2018-12-03T17:20:28.701344,56,1.4267739,0.328125
train,2018-12-03T17:20:29.104403,57,1.4008574,0.3125
train,2018-12-03T17:20:29.516413,58,1.4150646,0.296875
train,2018-12-03T17:20:29.926417,59,1.3775074,0.3125
train,2018-12-03T17:20:30.333048,60,1.3648804,0.3515625
train,2018-12-03T17:20:30.740246,61,1.3670728,0.375
train,2018-12-03T17:20:31.147315,62,1.4094404,0.28125
train,2018-12-03T17:20:31.552393,63,1.3977765,0.3359375
train,2018-12-03T17:20:31.965919,64,1.396944,0.3125
train,2018-12-03T17:20:32.372969,65,1.4232979,0.25
train,2018-12-03T17:20:32.779560,66,1.4069569,0.3203125
train,2018-12-03T17:20:33.188959,67,1.4455507,0.265625
train,2018-12-03T17:20:33.596735,68,1.3583608,0.375
train,2018-12-03T17:20:34.003710,69,1.411462,0.34375
train,2018-12-03T17:20:34.417639,70,1.3822409,0.3359375
train,2018-12-03T17:20:34.834389,71,1.4303343,0.3125
train,2018-12-03T17:20:35.244502,72,1.387869,0.34375
train,2018-12-03T17:20:35.648264,73,1.4120839,0.28125
train,2018-12-03T17:20:36.056646,74,1.3180509,0.4140625
train,2018-12-03T17:20:36.461494,75,1.3906411,0.3359375
train,2018-12-03T17:20:36.868935,76,1.4008524,0.3671875
train,2018-12-03T17:20:37.279825,77,1.3713844,0.4140625
train,2018-12-03T17:20:37.688806,78,1.4451338,0.3515625
train,2018-12-03T17:20:38.103127,79,1.4176053,0.3359375
train,2018-12-03T17:20:38.513962,80,1.4387428,0.3046875
train,2018-12-03T17:20:38.926612,81,1.3773253,0.3203125
train,2018-12-03T17:20:39.333947,82,1.4354762,0.359375
train,2018-12-03T17:20:39.744687,83,1.3508892,0.296875
train,2018-12-03T17:20:40.155217,84,1.4238207,0.3515625
train,2018-12-03T17:20:40.569319,85,1.3610586,0.40625
train,2018-12-03T17:20:40.975843,86,1.3531299,0.34375
train,2018-12-03T17:20:41.386708,87,1.4908824,0.2265625
train,2018-12-03T17:20:41.797519,88,1.4362788,0.3046875
train,2018-12-03T17:20:42.207056,89,1.3783706,0.328125
train,2018-12-03T17:20:42.618149,90,1.3356036,0.40625
train,2018-12-03T17:20:43.028362,91,1.2975522,0.40625
train,2018-12-03T17:20:43.435682,92,1.3723652,0.3984375
train,2018-12-03T17:20:43.845002,93,1.3716931,0.4140625
train,2018-12-03T17:20:44.255461,94,1.3827548,0.3203125
train,2018-12-03T17:20:44.665321,95,1.3524668,0.3828125
train,2018-12-03T17:20:45.073283,96,1.3537066,0.3671875
train,2018-12-03T17:20:45.487310,97,1.3428749,0.34375
train,2018-12-03T17:20:45.890104,98,1.3774666,0.375
train,2018-12-03T17:20:46.303758,99,1.3767763,0.3125
train,2018-12-03T17:20:46.721689,100,1.3385216,0.328125
dev,2018-12-03T17:20:47.130460,100,1.3270899,0.40241057
train,2018-12-03T17:21:01.611429,101,1.36005,0.296875
train,2018-12-03T17:21:02.031076,102,1.3688614,0.34375
train,2018-12-03T17:21:02.439157,103,1.3458267,0.359375
train,2018-12-03T17:21:02.847057,104,1.3164736,0.40625
train,2018-12-03T17:21:03.260265,105,1.3483971,0.390625
train,2018-12-03T17:21:03.671796,106,1.3260967,0.359375
train,2018-12-03T17:21:04.082195,107,1.3841419,0.296875
train,2018-12-03T17:21:04.491414,108,1.3253556,0.421875
train,2018-12-03T17:21:04.900171,109,1.2932811,0.46875
train,2018-12-03T17:21:05.308161,110,1.406361,0.3046875
train,2018-12-03T17:21:05.719115,111,1.3458048,0.40625
train,2018-12-03T17:21:06.124444,112,1.3578355,0.359375
train,2018-12-03T17:21:06.529549,113,1.3290292,0.421875
train,2018-12-03T17:21:06.938521,114,1.382535,0.296875
train,2018-12-03T17:21:07.353154,115,1.3711215,0.390625
train,2018-12-03T17:21:07.758228,116,1.2594569,0.4296875
train,2018-12-03T17:21:08.168426,117,1.3726518,0.3359375
train,2018-12-03T17:21:08.581126,118,1.3692476,0.3359375
train,2018-12-03T17:21:08.983109,119,1.3091524,0.3671875
train,2018-12-03T17:21:09.390620,120,1.2628953,0.4296875
train,2018-12-03T17:21:09.803149,121,1.3839422,0.3203125
train,2018-12-03T17:21:10.209349,122,1.3433444,0.3828125
train,2018-12-03T17:21:10.623199,123,1.4240204,0.2890625
train,2018-12-03T17:21:11.027714,124,1.3694091,0.359375
train,2018-12-03T17:21:11.438111,125,1.2769654,0.421875
train,2018-12-03T17:21:11.849459,126,1.321746,0.3828125
train,2018-12-03T17:21:12.259186,127,1.3708832,0.3359375
train,2018-12-03T17:21:12.672544,128,1.3543818,0.375
train,2018-12-03T17:21:13.088014,129,1.347812,0.3515625
train,2018-12-03T17:21:13.490380,130,1.3168072,0.3984375
train,2018-12-03T17:21:13.904527,131,1.3668132,0.3125
train,2018-12-03T17:21:14.322275,132,1.3306788,0.3984375
train,2018-12-03T17:21:14.728664,133,1.3061832,0.390625
train,2018-12-03T17:21:15.148322,134,1.3415917,0.359375
train,2018-12-03T17:21:15.561839,135,1.3878772,0.3046875
train,2018-12-03T17:21:15.968814,136,1.2944348,0.4375
train,2018-12-03T17:21:16.378245,137,1.4137847,0.328125
train,2018-12-03T17:21:16.790757,138,1.3173318,0.40625
train,2018-12-03T17:21:17.199438,139,1.3273475,0.34375
train,2018-12-03T17:21:17.611754,140,1.293275,0.3671875
train,2018-12-03T17:21:18.026796,141,1.2707862,0.4921875
train,2018-12-03T17:21:18.431182,142,1.4079539,0.3359375
train,2018-12-03T17:21:18.839020,143,1.3661916,0.3359375
train,2018-12-03T17:21:19.251072,144,1.3702905,0.328125
train,2018-12-03T17:21:19.658649,145,1.3320223,0.375
train,2018-12-03T17:21:20.074159,146,1.3020031,0.375
train,2018-12-03T17:21:20.490346,147,1.386528,0.3515625
train,2018-12-03T17:21:20.897410,148,1.376208,0.3828125
train,2018-12-03T17:21:21.306931,149,1.3420979,0.3359375
train,2018-12-03T17:21:21.719333,150,1.3230296,0.3828125
train,2018-12-03T17:21:22.125152,151,1.352509,0.3203125
train,2018-12-03T17:21:22.546255,152,1.3079592,0.3984375
train,2018-12-03T17:21:22.957661,153,1.3893067,0.296875
